Variable name,Description,Measurement unit,Allowed values
behavioral_id,,,
age_range,age of participant,text,"[under 18, 18 - 24, 25 - 34, 35 - 44, 45 - 54, 55 - 64, 65 - 74, 75 - 84, 85 or older]"
attitude_towards_hypnosis,General attitude towards hypnosis,numeric,[-5 :5]
country_of_residence,Participant's country of residence,text,text
datetime,the date and time of starting the experiment,datetime,datetime
description_type_1,whether the first presented technique is described as hypnosis or control,text,"[hypnosis, control]"
description_type_2,whether the secound presented technique is described as hypnosis or control,text,"[hypnosis, control]"
description_type_3,whether the third presented technique is described as hypnosis or control,text,"[hypnosis, control]"
description_type_4,whether the fourth presented technique is described as real or control,text,"[hypnosis, control]"
effective_of_hypnoanalgesia,how effective the participant believes hypnosis to be for pain reduction,numeric,0 - 10
expectancy_1,expected effectivity of the first procedure presented to the participant,numeric,0 - 10
expectancy_2,expected effectivity of the secound procedure presented to the participant,numeric,0 - 10
expectancy_3,expected effectivity of the third procedure presented to the participant,numeric,0 - 10
expectancy_4,expected effectivity of the fourth procedure presented to the participant,numeric,0 - 10
experiences_freetext_1,free text report of the experiences during the first procedure presented to the participant,text,text
experiences_freetext_2,free text report of the experiences during the secound procedure presented to the participant,text,text
experiences_freetext_3,free text report of the experiences during the third procedure presented to the participant,text,text
experiences_freetext_4,free text report of the experiences during the fourth procedure presented to the participant,text,text
experiences_freetext_1_ENG_blinded_anonymized,"free text report of the experiences during the first procedure presented to the participant - translated to English, excluding references to the procedure and any personally identifiable information",text,text
experiences_freetext_2_ENG_blinded_anonymized,"free text report of the experiences during the secound procedure presented to the participant - translated to English, excluding references to the procedure and any personally identifiable information",text,text
experiences_freetext_3_ENG_blinded_anonymized,"free text report of the experiences during the third procedure presented to the participant - translated to English, excluding references to the procedure and any personally identifiable information",text,text
experiences_freetext_4_ENG_blinded_anonymized,"free text report of the experiences during the fourth procedure presented to the participant - translated to English, excluding references to the procedure and any personally identifiable information",text,text
felt_discomfort,whether the participant experienced any disconfort or side-effect during the study,text,"[Yes,No]"
felt_discomfort_free_description,description of the disconfort or side-effect,text,text
gender,gender of participant,text,"[Female,Male]"
hypnosis_depth_1,reported hypnosis depth during the first procedure presented to the participant,numeric,0 - 10
hypnosis_depth_2,reported hypnosis depth during the secound procedure presented to the participant,numeric,0 - 10
hypnosis_depth_3,reported hypnosis depth during the third procedure presented to the participant,numeric,0 - 10
hypnosis_depth_4,reported hypnosis depth during the fourth procedure presented to the participant,numeric,0 - 10
suspected_real_hypnosis,whether the participant suspected that one of the procedures described as control was real hypnosis,text,"[Yes,No]"
time_C1,relative timestamp of the last time this sketchpad was shown,numeric,time passed from datetime in microsecond
time_C1_hun,relative timestamp of the last time this sketchpad was shown,numeric,time passed from datetime in microsecond
time_C2,relative timestamp of the last time this sketchpad was shown,numeric,time passed from datetime in microsecond
time_C2_hun,relative timestamp of the last time this sketchpad was shown,numeric,time passed from datetime in microsecond
time_Experience_hyp,relative timestamp of the last time this sketchpad was shown,numeric,time passed from datetime in microsecond
time_General_Instructions,relative timestamp of the last time this sketchpad was shown,numeric,time passed from datetime in microsecond
time_General_Instructions_hun,relative timestamp of the last time this sketchpad was shown,numeric,time passed from datetime in microsecond
time_H1,relative timestamp of the last time this sketchpad was shown,numeric,time passed from datetime in microsecond
time_H1_hun,relative timestamp of the last time this sketchpad was shown,numeric,time passed from datetime in microsecond
time_H2,relative timestamp of the last time this sketchpad was shown,numeric,time passed from datetime in microsecond
time_H2_hun,relative timestamp of the last time this sketchpad was shown,numeric,time passed from datetime in microsecond
time_Induction,relative timestamp of the last time this sketchpad was shown,numeric,time passed from datetime in microsecond
time_Info,relative timestamp of the last time this sketchpad was shown,numeric,time passed from datetime in microsecond
time_Info_hun,relative timestamp of the last time this sketchpad was shown,numeric,time passed from datetime in microsecond
time_Misconceptions1,relative timestamp of the last time this sketchpad was shown,numeric,time passed from datetime in microsecond
time_Misconceptions1_hun,relative timestamp of the last time this sketchpad was shown,numeric,time passed from datetime in microsecond
time_Misconceptions2,relative timestamp of the last time this sketchpad was shown,numeric,time passed from datetime in microsecond
time_Misconceptions2_hun,relative timestamp of the last time this sketchpad was shown,numeric,time passed from datetime in microsecond
time_PLB_hyp,relative timestamp of the last time this sketchpad was shown,numeric,time passed from datetime in microsecond
time_Procedure,relative timestamp of the last time this sketchpad was shown,numeric,time passed from datetime in microsecond
time_Procedure_hun,relative timestamp of the last time this sketchpad was shown,numeric,time passed from datetime in microsecond
time_Questions,relative timestamp of the last time this sketchpad was shown,numeric,time passed from datetime in microsecond
time_Questions_hun,relative timestamp of the last time this sketchpad was shown,numeric,time passed from datetime in microsecond
time_Task,relative timestamp of the last time this sketchpad was shown,numeric,time passed from datetime in microsecond
time_Task_hun,relative timestamp of the last time this sketchpad was shown,numeric,time passed from datetime in microsecond
time_Trigger_HypnoticExperience,relative timestamp of the last time this sketchpad was shown,numeric,time passed from datetime in microsecond
time_Trigger_Induction,relative timestamp of the last time this sketchpad was shown,numeric,time passed from datetime in microsecond
time_Trigger_Intro,relative timestamp of the last time this sketchpad was shown,numeric,time passed from datetime in microsecond
time_Trigger_PlaybackOver,relative timestamp of the last time this sketchpad was shown,numeric,time passed from datetime in microsecond
time_Trigger_baseline_end,relative timestamp of the last time this sketchpad was shown,numeric,time passed from datetime in microsecond
time_Trigger_baseline_start,relative timestamp of the last time this sketchpad was shown,numeric,time passed from datetime in microsecond
time_Trigger_posthyp_end,relative timestamp of the last time this sketchpad was shown,numeric,time passed from datetime in microsecond
time_Trigger_posthyp_start,relative timestamp of the last time this sketchpad was shown,numeric,time passed from datetime in microsecond
time_Types,relative timestamp of the last time this sketchpad was shown,numeric,time passed from datetime in microsecond
time_Types_hun,relative timestamp of the last time this sketchpad was shown,numeric,time passed from datetime in microsecond
time_background,relative timestamp of the last time this sketchpad was shown,numeric,time passed from datetime in microsecond
time_background_hun,relative timestamp of the last time this sketchpad was shown,numeric,time passed from datetime in microsecond
time_baseline_play,relative timestamp of the last time this sketchpad was shown,numeric,time passed from datetime in microsecond
time_hypnotic_phases,relative timestamp of the last time this sketchpad was shown,numeric,time passed from datetime in microsecond
time_hypnotic_phases_hun,relative timestamp of the last time this sketchpad was shown,numeric,time passed from datetime in microsecond
time_intro_control,relative timestamp of the last time this sketchpad was shown,numeric,time passed from datetime in microsecond
time_intro_general,relative timestamp of the last time this sketchpad was shown,numeric,time passed from datetime in microsecond
time_intro_real,relative timestamp of the last time this sketchpad was shown,numeric,time passed from datetime in microsecond
time_parallel_port,relative timestamp of the last time this sketchpad was shown,numeric,time passed from datetime in microsecond
time_posthyp_play,relative timestamp of the last time this sketchpad was shown,numeric,time passed from datetime in microsecond
time_start_baseline_eng,relative timestamp of the last time this sketchpad was shown,numeric,time passed from datetime in microsecond
time_start_baseline_hun,relative timestamp of the last time this sketchpad was shown,numeric,time passed from datetime in microsecond
time_start_posthyp_eng,relative timestamp of the last time this sketchpad was shown,numeric,time passed from datetime in microsecond
time_start_posthyp_hun,relative timestamp of the last time this sketchpad was shown,numeric,time passed from datetime in microsecond
time_start_sound_eng,relative timestamp of the last time this sketchpad was shown,numeric,time passed from datetime in microsecond
time_start_sound_hun,relative timestamp of the last time this sketchpad was shown,numeric,time passed from datetime in microsecond
time_what_is_hypnosis,relative timestamp of the last time this sketchpad was shown,numeric,time passed from datetime in microsecond
time_what_is_hypnosis_hun,relative timestamp of the last time this sketchpad was shown,numeric,time passed from datetime in microsecond
timestamp_baseline_start,timestamp of the start of first baseline recording,datetime,datetime in ISO 8601 format
timestamp_recording_1,timestamp of the start of the first experimental trial,datetime,datetime in ISO 8601 format
timestamp_recording_2,timestamp of the start of the second experimental trial,datetime,datetime in ISO 8601 format
timestamp_recording_3,timestamp of the start of the third experimental trial,datetime,datetime in ISO 8601 format
timestamp_recording_4,timestamp of the start of the forth experimental trial,datetime,datetime in ISO 8601 format
timestamp_recording_posthyp,timestamp of the start of the second baseline recording,datetime,datetime in ISO 8601 format
timestamp_recording_posthyp_end,timestamp of the end of the second baseline recording,datetime,datetime in ISO 8601 format
timestamp_time_0,the first recorded timestamp,datetime,"datetime in ISO 8601 format, (this timestamp + relative time of the ""parallel_port"" sketchpad + datetime) will be used to calculate the real time zero in millisecond)"
timestamp_trigger_1,timestamp of sending the first trigger after setting the parallel port,datetime,datetime in ISO 8601 format
timestamp_trigger_4_recording_1,timestamp of introduction recording in the first experimental trial,datetime,datetime in ISO 8601 format
timestamp_trigger_4_recording_2,timestamp of introduction recording in the second experimental trial,datetime,datetime in ISO 8601 format
timestamp_trigger_4_recording_3,timestamp of introduction recording in the third experimental trial,datetime,datetime in ISO 8601 format
timestamp_trigger_4_recording_4,timestamp of introduction recording in the forth experimental trial,datetime,datetime in ISO 8601 format
timestamp_trigger_5_recording_1,timestamp of induction recording in the first experimental trial,datetime,datetime in ISO 8601 format
timestamp_trigger_5_recording_2,timestamp of induction recording in the second experimental trial,datetime,datetime in ISO 8601 format
timestamp_trigger_5_recording_3,timestamp of induction recording in the third experimental trial,datetime,datetime in ISO 8601 format
timestamp_trigger_5_recording_4,timestamp of induction recording in the forth experimental trial,datetime,datetime in ISO 8601 format
timestamp_trigger_6_recording_1,timestamp of experinece recording in the first experimental trial,datetime,datetime in ISO 8601 format
timestamp_trigger_6_recording_2,timestamp of experinece recording in the second experimental trial,datetime,datetime in ISO 8601 format
timestamp_trigger_6_recording_3,timestamp of experinece recording in the third experimental trial,datetime,datetime in ISO 8601 format
timestamp_trigger_6_recording_4,timestamp of experinece recording in the forth experimental trial,datetime,datetime in ISO 8601 format
