"ID","expectancy","trial_type","procedure_type","description_type"
"ID_1",0.807336974212882,"sham","embedded","control"
"ID_1",7.0276228918844,"sham","whitenoise","hypnosis"
"ID_1",-1.30554039554907,"true","relaxation","control"
"ID_1",5.49068089538277,"true","confusion","hypnosis"
"ID_2",2.21169045828391,"sham","whitenoise","control"
"ID_2",5.35078958488335,"sham","embedded","hypnosis"
"ID_2",2.82466508620794,"true","confusion","control"
"ID_2",4.23610965787015,"true","relaxation","hypnosis"
"ID_3",1.32394978034387,"sham","embedded","control"
"ID_3",3.63622878047795,"sham","whitenoise","hypnosis"
"ID_3",5.56072996618601,"true","relaxation","control"
"ID_3",5.34368038931562,"true","confusion","hypnosis"
"ID_4",0.554867801990979,"sham","whitenoise","control"
"ID_4",7.65267303677895,"sham","embedded","hypnosis"
"ID_4",4.42769252003383,"true","confusion","control"
"ID_4",5.63041495842347,"true","relaxation","hypnosis"
"ID_5",7.05533904252315,"sham","embedded","control"
"ID_5",6.22451563823527,"sham","whitenoise","hypnosis"
"ID_5",6.56272856932213,"true","relaxation","control"
"ID_5",8.50952445197766,"true","confusion","hypnosis"
"ID_6",1.27210984353049,"sham","whitenoise","control"
"ID_6",7.62362633698847,"sham","embedded","hypnosis"
"ID_6",-0.415829561108893,"true","confusion","control"
"ID_6",7.94612860136415,"true","relaxation","hypnosis"
"ID_7",1.02403321401398,"sham","embedded","control"
"ID_7",6.60055843081279,"sham","whitenoise","hypnosis"
"ID_7",5.58678796833337,"true","relaxation","control"
"ID_7",6.37308701895656,"true","confusion","hypnosis"
"ID_8",0.483750468698051,"sham","whitenoise","control"
"ID_8",3.81418777133641,"sham","embedded","hypnosis"
"ID_8",0.705054872610727,"true","confusion","control"
"ID_8",-0.4658874049913,"true","relaxation","hypnosis"
"ID_9",6.06425925107137,"sham","embedded","control"
"ID_9",7.16015643602883,"sham","whitenoise","hypnosis"
"ID_9",3.80226372589844,"true","relaxation","control"
"ID_9",4.93005366434417,"true","confusion","hypnosis"
"ID_10",4.03760511216591,"sham","whitenoise","control"
"ID_10",5.36300103473903,"sham","embedded","hypnosis"
"ID_10",5.21849603546641,"true","confusion","control"
"ID_10",3.22828255844316,"true","relaxation","hypnosis"
"ID_11",0.409893375969569,"sham","embedded","control"
"ID_11",5.01663873314689,"sham","whitenoise","hypnosis"
"ID_11",0.102046330277758,"true","relaxation","control"
"ID_11",4.5088494714046,"true","confusion","hypnosis"
"ID_12",0.723683391793435,"sham","whitenoise","control"
"ID_12",1.03910750312073,"sham","embedded","hypnosis"
"ID_12",-1.09164760471668,"true","confusion","control"
"ID_12",1.79304160375098,"true","relaxation","hypnosis"
"ID_13",3.432420313882,"sham","embedded","control"
"ID_13",3.00749681860655,"sham","whitenoise","hypnosis"
"ID_13",2.16901411131327,"true","relaxation","control"
"ID_13",5.29704071240022,"true","confusion","hypnosis"
"ID_14",5.78603484755808,"sham","whitenoise","control"
"ID_14",7.44104656125396,"sham","embedded","hypnosis"
"ID_14",3.1879278297922,"true","confusion","control"
"ID_14",4.10466281974333,"true","relaxation","hypnosis"
"ID_15",3.77858069990235,"sham","embedded","control"
"ID_15",6.93728274448953,"sham","whitenoise","hypnosis"
"ID_15",0.146718223718056,"true","relaxation","control"
"ID_15",6.072349343756,"true","confusion","hypnosis"
"ID_16",1.29971486451409,"sham","whitenoise","control"
"ID_16",6.62322349386344,"sham","embedded","hypnosis"
"ID_16",1.37572212382821,"true","confusion","control"
"ID_16",7.42254579180245,"true","relaxation","hypnosis"
"ID_17",2.66054556031845,"sham","embedded","control"
"ID_17",2.82853619941552,"sham","whitenoise","hypnosis"
"ID_17",5.50447049268472,"true","relaxation","control"
"ID_17",4.68806259588904,"true","confusion","hypnosis"
"ID_18",1.11151408395722,"sham","whitenoise","control"
"ID_18",3.46531774201599,"sham","embedded","hypnosis"
"ID_18",0.554491011293516,"true","confusion","control"
"ID_18",6.96346747786079,"true","relaxation","hypnosis"
"ID_19",-3.23379084068024,"sham","embedded","control"
"ID_19",6.0456311887307,"sham","whitenoise","hypnosis"
"ID_19",-2.31476907917502,"true","relaxation","control"
"ID_19",5.72954240844559,"true","confusion","hypnosis"
"ID_20",2.17496586329286,"sham","whitenoise","control"
"ID_20",2.70611823716266,"sham","embedded","hypnosis"
"ID_20",1.7662966545725,"true","confusion","control"
"ID_20",4.69954205372883,"true","relaxation","hypnosis"
"ID_21",2.03792251273107,"sham","embedded","control"
"ID_21",7.39602048549079,"sham","whitenoise","hypnosis"
"ID_21",0.969761123963982,"true","relaxation","control"
"ID_21",9.91758275211845,"true","confusion","hypnosis"
"ID_22",0.875649202577621,"sham","whitenoise","control"
"ID_22",4.59668577344479,"sham","embedded","hypnosis"
"ID_22",-0.2655117405883,"true","confusion","control"
"ID_22",4.17415682842088,"true","relaxation","hypnosis"
"ID_23",-0.490494506847477,"sham","embedded","control"
"ID_23",5.6299079492601,"sham","whitenoise","hypnosis"
"ID_23",-3.31641029063098,"true","relaxation","control"
"ID_23",8.80098388677793,"true","confusion","hypnosis"
"ID_24",4.71257903168193,"sham","whitenoise","control"
"ID_24",5.39928872473531,"sham","embedded","hypnosis"
"ID_24",3.39871458266773,"true","confusion","control"
"ID_24",4.08951356887249,"true","relaxation","hypnosis"
"ID_25",0.689206108668125,"sham","embedded","control"
"ID_25",7.31794873980072,"sham","whitenoise","hypnosis"
"ID_25",1.48124298068204,"true","relaxation","control"
"ID_25",9.64436428712417,"true","confusion","hypnosis"
"ID_26",0.193853932267182,"sham","whitenoise","control"
"ID_26",6.13305951072896,"sham","embedded","hypnosis"
"ID_26",1.24748280701873,"true","confusion","control"
"ID_26",6.4065605639927,"true","relaxation","hypnosis"
"ID_27",4.42014736827321,"sham","embedded","control"
"ID_27",2.72374805815398,"sham","whitenoise","hypnosis"
"ID_27",1.4372055528731,"true","relaxation","control"
"ID_27",2.87590154310683,"true","confusion","hypnosis"
"ID_28",3.32779032247656,"sham","whitenoise","control"
"ID_28",5.25415163334682,"sham","embedded","hypnosis"
"ID_28",2.79718501247108,"true","confusion","control"
"ID_28",8.36231744817272,"true","relaxation","hypnosis"
"ID_29",4.82295159721651,"sham","embedded","control"
"ID_29",0.863297666422708,"sham","whitenoise","hypnosis"
"ID_29",4.38090357029394,"true","relaxation","control"
"ID_29",2.2742794002748,"true","confusion","hypnosis"
"ID_30",0.621772942282606,"sham","whitenoise","control"
"ID_30",9.55403298378116,"sham","embedded","hypnosis"
"ID_30",3.54470977179366,"true","confusion","control"
"ID_30",9.17922672436531,"true","relaxation","hypnosis"
"ID_31",2.79216449747673,"sham","embedded","control"
"ID_31",4.23976408357389,"sham","whitenoise","hypnosis"
"ID_31",0.629619828499503,"true","relaxation","control"
"ID_31",4.40186483096184,"true","confusion","hypnosis"
"ID_32",-0.405121714651876,"sham","whitenoise","control"
"ID_32",4.4766752279566,"sham","embedded","hypnosis"
"ID_32",2.62788023208774,"true","confusion","control"
"ID_32",3.56997931288363,"true","relaxation","hypnosis"
"ID_33",5.25760696518803,"sham","embedded","control"
"ID_33",4.21358474067949,"sham","whitenoise","hypnosis"
"ID_33",3.76895295957607,"true","relaxation","control"
"ID_33",3.40135537489855,"true","confusion","hypnosis"
"ID_34",3.19849012193901,"sham","whitenoise","control"
"ID_34",8.25473229906836,"sham","embedded","hypnosis"
"ID_34",2.71629290610252,"true","confusion","control"
"ID_34",5.08252137350842,"true","relaxation","hypnosis"
"ID_35",4.60909823128511,"sham","embedded","control"
"ID_35",3.69045953095606,"sham","whitenoise","hypnosis"
"ID_35",2.70248738926266,"true","relaxation","control"
"ID_35",6.42625602239042,"true","confusion","hypnosis"
